anno_names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K12206  icmB, dotO; intracellular multiplication protein IcmB [EC:7.2.4.8]	21.4012278287014	3.17580674185147	0.517399142853549	6.13802087946325	8.35558827238247e-10	5.92996099690984e-06
K14393  actP; cation/acetate symporter	265.534271471418	1.56985101490516	0.265189721706116	5.91972797740958	3.2247454320105e-09	1.14430091654893e-05
K01730  ogl; oligogalacturonide lyase [EC:4.2.2.6]	296.948827114374	-1.48038620625588	0.260878382494083	-5.67462199091737	1.38995236949484e-08	2.46612299157622e-05
K16149  K16149; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	204.129273479229	-2.06009091048189	0.360538309544513	-5.71393068626886	1.10395979352841e-08	2.46612299157622e-05
K03403  chlH, bchH; magnesium chelatase subunit H [EC:6.6.1.1]	31.892360512307	4.50328304276357	0.800381698690216	5.62641930735418	1.83988793817209e-08	2.55385856669928e-05
K06138  pqqD; pyrroloquinoline quinone biosynthesis protein D	144.473373870028	1.17707953711546	0.21023992557704	5.59874407244374	2.15910263494373e-08	2.55385856669928e-05
K01184  E3.2.1.15; polygalacturonase [EC:3.2.1.15]	774.70846049114	-2.11538200317657	0.384904160080991	-5.4958668223577	3.88795850789335e-08	3.94183450435987e-05
K08929  pufM; photosynthetic reaction center M subunit	12.3069970367247	5.68512800237886	1.05606610860705	5.38330693130334	7.31296808627498e-08	6.48751681353669e-05
K01154  hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]	1495.00959459542	-1.32403125684963	0.248804125575644	-5.3215807968871	1.02869403690518e-07	8.11182397768453e-05
K06282  hyaA, hybO; hydrogenase small subunit [EC:1.12.99.6]	805.340938457086	1.07157377530854	0.202793303528267	5.28406883592768	1.26345740836533e-07	8.1515974792443e-05
K07215  pigA, hemO; heme oxygenase (biliverdin-IX-beta and delta-forming) [EC:1.14.99.58]	41.2859567904706	4.12068265341699	0.777590708628366	5.29929512749154	1.16250596283589e-07	8.1515974792443e-05
K15547  mdtO; multidrug resistance protein MdtO	273.3683324685	2.73992321493847	0.523313416892148	5.23572132205269	1.64341760737992e-07	9.71944563297942e-05
K20293  COG6, COD2; conserved oligomeric Golgi complex subunit 6	20.3394006635914	4.82854583817009	0.928758120109589	5.19892718418477	2.00442021294798e-07	0.000109425925009937
K06137  pqqC; pyrroloquinoline-quinone synthase [EC:1.3.3.11]	405.923415900597	1.43185339979415	0.278635900243756	5.13879725671221	2.76502526346165e-07	0.000140167030677052
K01156  res; type III restriction enzyme [EC:3.1.21.5]	1552.58335121964	-1.16360488746081	0.228503016281409	-5.09229552588398	3.53754135262449e-07	0.000146871643919535
K11334  bchY; 3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Y [EC:1.3.7.14 1.3.7.15]	10.265875526206	5.3885754837303	1.06022237161476	5.0824955481021	3.72508044321774e-07	0.000146871643919535
K11384  algB; two-component system, NtrC family, response regulator AlgB	204.732973614232	-1.67794605408347	0.329598825390865	-5.09087388917005	3.56417027156729e-07	0.000146871643919535
K21464  pbpG; penicillin-binding protein 2D [EC:2.4.1.129 3.4.16.4]	216.896779620633	-1.88959070641535	0.369890973351116	-5.10850721577806	3.24714006634463e-07	0.000146871643919535
K01153  hsdR; type I restriction enzyme, R subunit [EC:3.1.21.3]	3689.61468196458	-1.15912782194151	0.229321817533102	-5.05459024531841	4.31315775556522e-07	0.000148078682014027
K04039  chlB; light-independent protochlorophyllide reductase subunit B [EC:1.3.7.7]	9.9628515725069	6.10527667592325	1.20878128129723	5.05077036713475	4.40031802542809e-07	0.000148078682014027
K07316  mod; adenine-specific DNA-methyltransferase [EC:2.1.1.72]	1632.17209981632	-1.14480451193109	0.227445321107838	-5.03331748639624	4.82063766839381e-07	0.000148078682014027
K12137  hyfB; hydrogenase-4 component B [EC:1.-.-.-]	932.389955894407	-1.30987606992005	0.259819195274852	-5.04149075103703	4.61919185386656e-07	0.000148078682014027
K16950  asrA; anaerobic sulfite reductase subunit A	156.156940561285	-1.37638050941519	0.273850888660609	-5.02602170161651	5.00759245925975e-07	0.000148078682014027
K22250  phaZ; poly(3-hydroxyoctanoate) depolymerase [EC:3.1.1.76]	133.375454222127	3.35577352866334	0.664928365721911	5.04681962999125	4.49225073914392e-07	0.000148078682014027
K21009  pelD; polysaccharide biosynthesis protein PelD	702.45140225284	1.16895397619749	0.23393923985143	4.99682728275885	5.82812233862717e-07	0.000165448736948948
K00571  E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	1514.2218312069	-0.86642323852076	0.174574796362266	-4.96304882821008	6.9395126947998e-07	0.000182406376277756
K04750  phnB; PhnB protein	597.81364842164	0.983041733932596	0.197855393837143	4.96848589703725	6.74777068166795e-07	0.000182406376277756
K14166  ycnJ; copper transport protein	299.546312357218	1.24431709404272	0.251116343655508	4.95514181167646	7.22775547015063e-07	0.000183197787755925
K15549  mdtN; membrane fusion protein, multidrug efflux system	134.441056812426	2.28543590930131	0.463321455074262	4.93272194557665	8.10915537635713e-07	0.000198450605882781
